Name,ID,Category,Color,Attribute,Life,Power,Counter,Cost,Ability Text,Type
Rob Lucci,OP03-092,Character,Black,Strike,null,7000,,6,"[On Play] You may place 2 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: This Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)",CP9
Wanze,OP03-093,Character,Black,Slash,null,4000,,2,"[On Play] You may trash 1 card from your hand: If your Leader's type includes ""CP"", K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",CP7
Air Door,OP03-094,Event,Black,null,null,null,,4,"[Main] If your Leader's type includes ""CP"", look at 5 cards from the top of your deck; play up to 1 Character card with a type including ""CP"" and a cost of 5 or less. Then, trash the rest.[Trigger] Play up to 1 black Character card with a cost of 3 or less from your trash.",CP9
Soap Sheep,OP03-095,Event,Black,null,null,null,,1,[Main] Give up to 2 of your opponent's Characters -2 cost during this turn.[Trigger] Your opponent trashes 1 card from their hand.,CP9
Tempest Kick Sky Slicer,OP03-096,Event,Black,null,null,null,,2,[Main] K.O. up to 1 of your opponent's Characters with a cost of 0 or your opponent's Stages with a cost of 3 or less.[Trigger] Draw 2 cards.,CP9
Six King Pistol,OP03-097,Event,Black,null,null,null,,0,"[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.[Trigger] Draw 1 card. Then, K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",CP9
Enies Lobby,OP03-098,Stage,Black,null,null,null,,2,"[Activate: Main] You may rest this Stage: If your Leader's type includes ""CP"", give up to 1 of your opponent's Characters -2 cost during this turn.[Trigger] Play this card.",World Government
Kingbaum,OP03-100,Character,Yellow,Strike,null,5000,,3,[Trigger] You may trash 1 card from the top or bottom of your Life cards: Play this card.,Big Mom Pirates/Homies
Camie,OP03-101,Character,Yellow,Wisdom,null,3000,+1000 Counter,1,null,Merfolk
Bobbin the Disposer,OP03-103,Character,Yellow,Slash,null,4000,+1000 Counter,2,null,Big Mom Pirates
Shirley,OP03-104,Character,Yellow,Wisdom,null,3000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards.",Merfolk
Charlotte Oven,OP03-105,Character,Yellow,Special,null,4000,+1000 Counter,3,[DON!! x1] [When Attacking] You may trash 1 card with a [Trigger] from your hand: This Character gains +3000 power during this battle.,Big Mom Pirates
Charlotte Cracker,OP03-108,Character,Yellow,Slash,null,5000,+1000 Counter,4,"[DON!! x1] If you have less Life cards than your opponent, this Character gains [Double Attack] and +1000 power.(This card deals 2 damage.)[Trigger] You may trash 1 card from your hand: Play this card.",Big Mom Pirates
Charlotte Praline,OP03-111,Character,Yellow,Wisdom,null,5000,+1000 Counter,3,null,Merfolk/The Sun Pirates
Charlotte Perospero,OP03-113,Character,Yellow,Special,null,5000,,3,"[On K.O.] Look at 3 cards from the top of your deck; reveal up to 1{Big Mom Pirates}type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.[Trigger] You may trash 1 card from your hand: Play this card.",Big Mom Pirates
Napoleon,OP03-117,Character,Yellow,Slash,null,3000,+1000 Counter,3,[Activate: Main] You may rest this Character: Up to 1 of your [Charlotte Linlin] cards gains +1000 power until the start of your next turn.[Trigger] Play this card.,Big Mom Pirates/Homies
Buzz Cut Mochi,OP03-119,Event,Yellow,null,null,null,,2,"[Main] If you have less Life cards than your opponent, K.O. up to 1 of your opponent's Characters with a cost of 4 or less.[Trigger] Play up to 1 Character card with a cost of 4 or less and a [Trigger] from your hand.",Big Mom Pirates
Tropical Torment,OP03-120,Event,Yellow,null,null,null,,3,"[Main] If your opponent has 4 or more Life cards, trash up to 1 card from the top of your opponent's Life cards.[Trigger] Activate this card's [Main] effect.",Big Mom Pirates
Sogeking,OP03-122,Character,Blue,Ranged,null,6000,+1000 Counter,7,"Also treat this card's name as [Usopp] according to the rules.[On Play] Return up to 1 Character with a cost of 6 or less to the owner's hand. Then, draw 2 cards and trash 2 cards from your hand.",Sniper Island
Nefeltari Vivi,OP04-001,Leader,Red/Blue,Slash,5,5000,,null,This Leader cannot attack.[Activate: Main] [Once Per Turn] ➁(You may rest the specified number of DON!! cards in your cost area.): Draw 1 card and up to 1 of your Characters gains [Rush] during this turn.(This card can attack on the turn in which it is played.),Alabasta
Igaram,OP04-002,Character,Red,Ranged,null,3000,+1000 Counter,2,"[Activate: Main] You may rest this Character and give your 1 active Leader −5000 power during this turn: Look at 5 cards from the top of your deck; reveal up to 1{Alabasta}type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Alabasta
Usopp,OP04-003,Character,Red,Wisdom,null,5000,+1000 Counter,4,[On K.O.] K.O. up to 1 of your opponent's Characters with 5000 base power or less.,Alabasta/Straw Hat Crew
Karoo,OP04-004,Character,Red,Strike,null,2000,+1000 Counter,1,[Activate: Main] You may rest this Character: Give up to 1 rested DON!! card to each of your{Alabasta}type Characters.,Animal/Alabasta
Kung Fu Jugon,OP04-005,Character,Red,Strike,null,1000,+1000 Counter,1,"If you have a [Kung Fu Jugon] other than this Character, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Animal/Alabasta
Koza,OP04-006,Character,Red,Slash,null,3000,+2000 Counter,3,[When Attacking] You may give your 1 active Leader −5000 power during this turn: This Character gains +2000 power until the start of your next turn.,Alabasta
Sanji,OP04-007,Character,Red,Strike,null,3000,+1000 Counter,1,null,Alabasta/Straw Hat Crew
Chaka,OP04-008,Character,Red,Slash,null,5000,,3,"[DON!! x1] [When Attacking] If your Leader is [Nefeltari Vivi], give up to 1 of your opponent's Characters −3000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 0 power or less.",Alabasta
Super Spot-Billed Duck Troops,OP04-009,Character,Red,Strike,null,3000,+2000 Counter,2,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Return this Character to the owner's hand at the end of this turn.,Animal/Alabasta
Nami,OP04-011,Character,Red,Wisdom,null,3000,+1000 Counter,2,"[When Attacking] Reveal 1 card from the top of your deck. If the revealed card is a Character card with 6000 power or more, this Character gains +3000 power during this turn. Then, place the revealed card at the bottom of your deck.",Alabasta/Straw Hat Crew
Nefeltari Cobra,OP04-012,Character,Red,Wisdom,null,0,+1000 Counter,2,[Your Turn] All of your{Alabasta}type Characters other than this Character gain +1000 power.,Alabasta
Pell,OP04-013,Character,Red,Slash,null,6000,,5,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 4000 power or less.,Alabasta
Monkey.D.Luffy,OP04-014,Character,Red,Strike,null,9000,,8,"[Banish](When this card deals damage, the target card is trashed without activating its Trigger.)",Alabasta/Straw Hat Crew
Roronoa Zoro,OP04-015,Character,Red,Slash,null,6000,+1000 Counter,5,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,Alabasta/Straw Hat Crew
Bad Manners Kick Course,OP04-016,Event,Red,null,null,null,,0,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.[Trigger] Give up to 1 of your opponent's Leader or Character cards −3000 power during this turn.,Alabasta/Straw Hat Crew
Happiness Punch,OP04-017,Event,Red,null,null,null,,1,"[Counter] Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn. Then, if your Leader is active, give up to 1 of your opponent's Leader or Character cards −1000 power during this turn.",Alabasta/Straw Hat Crew
Enchanting Vertigo Dance,OP04-018,Event,Red,null,null,null,,3,"[Main] If your Leader has the{Alabasta}type, give up to 2 of your opponent's Characters −2000 power during this turn.[Trigger] Activate this card's [Main] effect.",Alabasta
Donquixote Doflamingo,OP04-019,Leader,Green/Purple,Special,4,5000,,null,[End of Your Turn] Set up to 2 of your DON!! cards as active.,The Seven Warlords of the Sea/Donquixote Pirates
Issho,OP04-020,Leader,Green/Black,Special,4,5000,,null,[DON!! x1] [Your Turn] Give all of your opponent's Characters −1 cost.[End of Your Turn] ➀(You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your Characters with a cost of 5 or less as active.,Navy
Viola,OP04-021,Character,Green,Special,null,3000,+2000 Counter,3,[On Your Opponent's Attack] ➁(You may rest the specified number of DON!! cards in your cost area.): Rest up to 1 of your opponent's DON!! cards.,Donquixote Pirates
Eric,OP04-022,Character,Green,Slash,null,2000,+1000 Counter,1,[Activate: Main] You may rest this Character: Rest up to 1 of your opponent's Characters with a cost of 1 or less.,East Blue
Kuro,OP04-023,Character,Green,Slash,null,8000,+1000 Counter,6,null,East Blue/Black Cat Pirates
Sugar,OP04-024,Character,Green,Special,null,0,+1000 Counter,2,"[Opponent's Turn] [Once Per Turn] When your opponent plays a Character, if your Leader has the{Donquixote Pirates}type, rest up to 1 of your opponent's Characters. Then, rest this Character.[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Donquixote Pirates
Giolla,OP04-025,Character,Green,Special,null,4000,+1000 Counter,4,[On Your Opponent's Attack] ➁(You may rest the specified number of DON!! cards in your cost area.): Rest up to 1 of your opponent's Characters with a cost of 4 or less.,Donquixote Pirates
Senor Pink,OP04-026,Character,Green,Special,null,5000,,3,"[When Attacking] ➀(You may rest the specified number of DON!! cards in your cost area.): If your Leader has the{Donquixote Pirates}type, rest up to 1 of your opponent's Characters with a cost of 4 or less. Then, set up to 1 of your DON!! cards as active at the end of this turn.",Donquixote Pirates
Daddy Masterson,OP04-027,Character,Green,Ranged,null,5000,,4,[DON!! x1] [End of Your Turn] Set this Character as active.,East Blue/Former Navy
Diamante,OP04-028,Character,Green,Slash,null,6000,+1000 Counter,5,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [End of Your Turn] If you have 2 or more active DON!! cards, set this Character as active.",Donquixote Pirates
Dellinger,OP04-029,Character,Green,Strike,null,4000,+1000 Counter,3,[End of Your Turn] Set up to 1 of your DON!! cards as active.,Donquixote Pirates
Trebol,OP04-030,Character,Green,Special,null,6000,,6,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 5 or less.[On Your Opponent's Attack] ➁(You may rest the specified number of DON!! cards in your cost area.): Rest up to 1 of your opponent's Characters with a cost of 4 or less.,Donquixote Pirates
Donquixote Doflamingo,OP04-031,Character,Green,Special,null,10000,,10,[On Play] Up to a total of 3 of your opponent's rested Leader and Character cards will not become active in your opponent's next Refresh Phase.,The Seven Warlords of the Sea/Donquixote Pirates
Baby 5,OP04-032,Character,Green,Special,null,1000,+2000 Counter,1,[End of Your Turn] You may trash this Character: Set up to 2 of your DON!! cards as active.,Donquixote Pirates
Machvise,OP04-033,Character,Green,Strike,null,5000,+1000 Counter,4,"[On Play] If your Leader has the{Donquixote Pirates}type, rest up to 1 of your opponent's Characters with a cost of 5 or less. Then, set up to 1 of your DON!! cards as active at the end of this turn.",Donquixote Pirates
Lao.G,OP04-034,Character,Green,Strike,null,5000,+1000 Counter,4,"[End of Your Turn] If you have 3 or more active DON!! cards, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.",Donquixote Pirates
Spiderweb,OP04-035,Event,Green,null,null,null,,2,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, set up to 1 of your Characters as active.[Trigger] Up to 1 of your Leader gains +2000 power during this turn.",The Seven Warlords of the Sea/Donquixote Pirates
Donquixote Family,OP04-036,Event,Green,null,null,null,,1,"[Counter] Look at 5 cards from the top of your deck; reveal up to 1{Donquixote Pirates}type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.[Trigger] Activate this card's [Counter] effect.",Donquixote Pirates
Flapping Thread,OP04-037,Event,Green,null,null,null,,2,"[Counter] If your Leader has the{Donquixote Pirates}type, up to 1 of your Leader or Character cards gains +2000 power during this turn.[Trigger] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.",The Seven Warlords of the Sea/Donquixote Pirates
The Weak Do Not Have the Right to Choose How They Die!!!,OP04-038,Event,Green,null,null,null,,5,"[Main]/[Counter] Rest up to 1 of your opponent's Leader or Character cards. Then, K.O. up to 1 of your opponent's rested Characters with a cost of 6 or less.[Trigger] Set up to 5 of your DON!! cards as active.",The Seven Warlords of the Sea/Donquixote Pirates
Rebecca,OP04-039,Leader,Blue/Black,Slash,5,5000,,null,"This Leader cannot attack.[Activate: Main] [Once Per Turn] ➀(You may rest the specified number of DON!! cards in your cost area.): If you have 6 or less cards in your hand, look at 2 cards from the top of your deck; reveal up to 1{Dressrosa}type card and add it to your hand. Then, trash the rest.",Dressrosa
Queen,OP04-040,Leader,Blue/Yellow,Ranged,4,5000,,null,"[DON!! x1] [When Attacking] If you have a total of 4 or less cards in your Life area and hand, draw 1 card. If you have a Character with a cost of 8 or more, you may add up to 1 card from the top of your deck to the top of your Life cards instead of drawing 1 card.",Animal Kingdom Pirates
Apis,OP04-041,Character,Blue,Wisdom,null,0,+2000 Counter,1,"[On Play] You may trash 2 cards from your hand: Look at 5 cards from the top of your deck; reveal up to 1{East Blue}type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",East Blue
Ipponmatsu,OP04-042,Character,Blue,Wisdom,null,1000,+1000 Counter,2,"[On Play] Up to 1 of your <Slash> attribute Characters gains +3000 power during this turn. Then, trash 1 card from the top of your deck.",East Blue
Ulti,OP04-043,Character,Blue,Strike,null,4000,+1000 Counter,3,[DON!! x1] [When Attacking] Return up to 1 Character with a cost of 2 or less to the owner's hand or the bottom of their deck.,Animal Kingdom Pirates
Kaido,OP04-044,Character,Blue,Strike,null,12000,,10,[On Play] Return up to 1 Character with a cost of 8 or less and up to 1 Character with a cost of 3 or less to the owner's hand.,The Four Emperors/Animal Kingdom Pirates
King,OP04-045,Character,Blue,Slash,null,8000,+1000 Counter,7,[On Play] Draw 1 card.,Animal Kingdom Pirates
Queen,OP04-046,Character,Blue,Strike,null,5000,+1000 Counter,4,"[On Play] If your Leader has the{Animal Kingdom Pirates}type, look at 7 cards from the top of your deck; reveal a total of up to 2 [Plague Rounds] or [Ice Oni] cards and add them to your hand. Then, place the rest at the bottom of your deck in any order.",Animal Kingdom Pirates
Ice Oni,OP04-047,Character,Blue,Special,null,0,+1000 Counter,8,"[Your Turn] At the end of a battle in which this Character battles your opponent's Character with a cost of 5 or less, place the opponent's Character you battled with at the bottom of the owner's deck.",Plague/Animal Kingdom Pirates
Sasaki,OP04-048,Character,Blue,Strike,null,4000,+2000 Counter,3,"[On Play] Return all cards in your hand to your deck and shuffle your deck. Then, draw cards equal to the number you returned to your deck.",Animal Kingdom Pirates
Jack,OP04-049,Character,Blue,Strike,null,3000,+1000 Counter,2,[On K.O.] Draw 1 card.,Animal Kingdom Pirates
Hanger,OP04-050,Character,Blue,Wisdom,null,0,+1000 Counter,2,[Activate: Main] You may trash 1 card from your hand and rest this Character: Draw 1 card.,East Blue
Who's.Who,OP04-051,Character,Blue,Slash,null,2000,+1000 Counter,1,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1{Animal Kingdom Pirates}type card other than [Who's.Who] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Animal Kingdom Pirates
Black Maria,OP04-052,Character,Blue,Special,null,3000,+1000 Counter,3,[Activate: Main] ➁(You may rest the specified number of DON!! cards in your cost area.)You may rest this Character: Draw 1 card.[Trigger] Play this card.,Animal Kingdom Pirates
Page One,OP04-053,Character,Blue,Strike,null,6000,,4,"[DON!! x1] [Once Per Turn] When you activate an Event, draw 1 card. Then, place 1 card from your hand at the bottom of your deck.",Animal Kingdom Pirates
Rokki,OP04-054,Character,Blue,Strike,null,7000,+1000 Counter,5,null,Giant/Animal Kingdom Pirates
Plague Rounds,OP04-055,Event,Blue,null,null,null,,2,[Main] You may trash 1 [Ice Oni] from your hand and place 1 Character with a cost of 4 or less at the bottom of the owner's deck: Play 1 [Ice Oni] from your trash.[Trigger] Activate this card's [Main] effect.,Animal Kingdom Pirates
Gum-Gum Red Roc,OP04-056,Event,Blue,null,null,null,,6,[Main] Place up to 1 Character at the bottom of the owner's deck.[Trigger] Place up to 1 Character with a cost of 4 or less at the bottom of the owner's deck.,Straw Hat Crew
Dragon Twister Demolition Breath,OP04-057,Event,Blue,null,null,null,,2,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, place up to 1 Character with a cost of 1 or less at the bottom of the owner's deck.[Trigger] Return up to 1 Character with a cost of 6 or less to the owner's hand.",The Four Emperors/Animal Kingdom Pirates
Crocodile,OP04-058,Leader,Purple/Yellow,Special,4,5000,,null,"[Opponent's Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck by your effect, add up to 1 DON!! card from your DON!! deck and set it as active.",The Seven Warlords of the Sea/Baroque Works
Iceburg,OP04-059,Character,Purple,Wisdom,null,0,+1000 Counter,1,"[On Your Opponent's Attack] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the{Water Seven}type, this Character gains [Blocker] during this turn.(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Water Seven/Galley-La Company
Crocodile,OP04-060,Character,Purple,Special,null,9000,,8,"[On Play] DON!! −2(You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 card from the top of your deck to the top of your Life cards.[On Your Opponent's Attack] [Once Per Turn] DON!! −1: Draw 1 card and trash 1 card from your hand.",The Seven Warlords of the Sea/Baroque Works
Tom,OP04-061,Character,Purple,Wisdom,null,4000,+1000 Counter,3,"[Activate: Main] You may trash this Character: If your Leader has the{Water Seven}type, add up to 1 DON!! card from your DON!! deck and rest it.",Fish-Man/Water Seven
Bananagator,OP04-062,Character,Purple,Strike,null,7000,+1000 Counter,5,null,Animal
Franky,OP04-063,Character,Purple,Wisdom,null,1000,+2000 Counter,1,"[On Your Opponent's Attack] [Once Per Turn] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the{Water Seven}type, up to 1 of your Leader or Character cards gains +1000 power during this battle.",Water Seven/The Franky Family
Ms. All Sunday,OP04-064,Character,Purple,Wisdom,null,5000,,5,"[On Play] Add up to 1 DON!! card from your DON!! deck and rest it. Then, if you have 6 or more DON!! cards on your field, draw 1 card.[Trigger] DON!! −2(You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.",Baroque Works
Miss.Goldenweek(Marianne),OP04-065,Character,Purple,Wisdom,null,3000,+1000 Counter,2,"[On Play] If your Leader's type includes ""Baroque Works"", up to 1 of your opponent's Characters with a cost of 5 or less cannot attack until the start of your next turn.[Trigger] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.",Baroque Works
Miss.Valentine(Mikita),OP04-066,Character,Purple,Strike,null,2000,+1000 Counter,2,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Baroque Works"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.[Trigger] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.",Baroque Works
Miss.MerryChristmas(Drophy),OP04-067,Character,Purple,Slash,null,4000,,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Trigger] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.",Baroque Works
Yokozuna,OP04-068,Character,Purple,Strike,null,3000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Return up to 1 of your opponent's Characters with a cost of 2 or less to the owner's hand.",Animal/Water Seven
Mr.2.Bon.Kurei(Bentham),OP04-069,Character,Purple,Strike,null,4000,+1000 Counter,3,[On Your Opponent's Attack] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character's base power becomes the same as the power of your opponent's attacking Leader or Character during this turn.[Trigger] DON!! −1: Play this card.,Baroque Works
Mr.3(Galdino),OP04-070,Character,Purple,Special,null,4000,+1000 Counter,3,[On Your Opponent's Attack] [Once Per Turn] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to 1 of your opponent's Characters −1000 power during this turn.,Baroque Works
Mr.4(Babe),OP04-071,Character,Purple,Strike,null,6000,+1000 Counter,5,"[On Your Opponent's Attack] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains [Blocker] and +1000 power during this battle.(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Baroque Works
Mr.5(Gem),OP04-072,Character,Purple,Special,null,8000,,7,[On Your Opponent's Attack] [Once Per Turn] DON!! −2(You may return the specified number of DON!! cards from your field to your DON!! deck.)You may rest this Character: K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,Baroque Works
Mr.13 & Ms.Friday,OP04-073,Character,Purple,Wisdom,null,1000,+2000 Counter,3,"[Activate: Main] You may trash this Character and 1 of your Characters with a type including ""Baroque Works"": Add up to 1 DON!! card from your DON!! deck and set it as active.[Trigger] Play this card.",Animal/Baroque Works
Colors Trap,OP04-074,Event,Purple,null,null,null,,1,"[Counter] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader or Character cards gains +1000 power during this battle. Then, rest up to 1 of your opponent's Characters with a cost of 4 or less.[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",Baroque Works
Nez-Palm Cannon,OP04-075,Event,Purple,null,null,null,,3,"[Counter] Up to 1 of your Leader or Character cards gains +6000 power during this battle. Then, if you have 2 or less Life cards, add up to 1 DON!! card from your DON!! deck and rest it.[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",Baroque Works
Weakness...Is an Unforgivable Sin.,OP04-076,Event,Purple,null,null,null,,1,[Counter] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader or Character cards gains +1000 power during this turn.[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,The Seven Warlords of the Sea/Baroque Works
Ideo,OP04-077,Character,Black,Strike,null,2000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Dressrosa
Oimo & Kashii,OP04-078,Character,Black,Strike,null,8000,+1000 Counter,6,null,Giant/World Government
Orlumbus,OP04-079,Character,Black,Strike,null,5000,+1000 Counter,4,"[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −4 cost during this turn and trash 2 cards from the top of your deck. Then, K.O. 1 of your{Dressrosa}type Characters.",Dressrosa/Yonta Maria Fleet
Gyats,OP04-080,Character,Black,Wisdom,null,1000,+2000 Counter,1,[On Play] Up to 1 of your{Dressrosa}type Characters can also attack active Characters during this turn.,Dressrosa
Cavendish,OP04-081,Character,Black,Slash,null,6000,,5,"[DON!! x1] This Character can also attack active Characters.[When Attacking] You may rest your Leader: K.O. up to 1 of your opponent's Characters with a cost of 1 or less. Then, trash 2 cards from the top of your deck.",Dressrosa/Beautiful Pirates
Kyros,OP04-082,Character,Black,Slash,null,5000,,3,"If this Character would be K.O.'d, you may rest your Leader or 1 [Corrida Coliseum] instead.[On Play] If your Leader is [Rebecca], K.O. up to 1 of your opponent's Characters with a cost of 1 or less. Then, trash 1 card from the top of your deck.",Dressrosa
Stussy,OP04-084,Character,Black,Special,null,3000,,2,"[On Play] Look at 3 cards from the top of your deck and play up to 1 Character card with a type including ""CP"" other than [Stussy] and a cost of 2 or less. Then, trash the rest.",CP0
Suleiman,OP04-085,Character,Black,Slash,null,4000,+1000 Counter,3,"[On Play]/[When Attacking] If your Leader has the{Dressrosa}type, give up to 1 of your opponent's Characters −2 cost during this turn. Then, trash 1 card from the top of your deck.",Dressrosa
Chinjao,OP04-086,Character,Black,Strike,null,6000,+1000 Counter,5,"[DON!! x1] When this Character battles and K.O.'s your opponent's Character, draw 2 cards and trash 2 cards from your hand.",Dressrosa/Happosui Army
Trafalgar Law,OP04-087,Character,Black,Slash,null,7000,+1000 Counter,5,null,Dressrosa/Heart Pirates
Hajrudin,OP04-088,Character,Black,Strike,null,7000,+1000 Counter,6,[Activate: Main] You may rest your 1 Leader: Give up to 1 of your opponent's Characters −4 cost during this turn.,Giant/Dressrosa/New Giant Pirates
Bartolomeo,OP04-089,Character,Black,Special,null,3000,+2000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Dressrosa/Barto Club
Monkey.D.Luffy,OP04-090,Character,Black,Strike,null,7000,,7,"This Character can also attack active Characters.[Activate: Main] [Once Per Turn] You may return 7 cards from your trash to the bottom of your deck in any order: Set this Character as active. Then, this Character will not become active in your next Refresh Phase.",Dressrosa/Straw Hat Crew
Leo,OP04-091,Character,Black,Strike,null,2000,+1000 Counter,1,"[On Play] You may rest your 1 Leader: If your Leader has the{Dressrosa}type, K.O. up to 1 of your opponent's Characters with a cost of 1 or less. Then, trash 2 cards from the top of your deck.",The Tontattas/Dressrosa
Rebecca,OP04-092,Character,Black,Slash,null,2000,+1000 Counter,1,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1{Dressrosa}type card other than [Rebecca] and add it to your hand. Then, trash the rest.",Dressrosa
Gum-Gum King Kong Gun,OP04-093,Event,Black,null,null,null,,3,"[Main] Up to 1 of your{Dressrosa}type Characters gains +6000 power during this turn. Then, if you have 15 or more cards in your trash, that card gains [Double Attack] during this turn.(This card deals 2 damage.)[Trigger] Draw 3 cards and trash 2 cards from your hand.",Dressrosa/Straw Hat Crew
Trueno Bastardo,OP04-094,Event,Black,null,null,null,,4,"[Main] Choose up to 1 of your opponent's Characters with a cost of 4 or less and K.O. it. If you have 15 or more cards in your trash, choose up to 1 of your opponent's Characters with a cost of 6 or less instead of a Character with a cost of 4 or less.[Trigger] You may rest your Leader: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",Dressrosa
Barrier!!,OP04-095,Event,Black,null,null,null,,1,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 15 or more cards in your trash, that card gains an additional +2000 power during this battle.[Trigger] Draw 2 cards and trash 1 card from your hand.",Dressrosa/Barto Club
Corrida Coliseum,OP04-096,Stage,Black,null,null,null,,1,"If your Leader has the{Dressrosa}type, your{Dressrosa}type Characters can attack Characters on the turn in which they are played.",Dressrosa
Otama,OP04-097,Character,Yellow,Wisdom,null,0,+1000 Counter,1,[On Play] Add up to 1 of your opponent's{Animal}or{SMILE}type Characters with a cost of 3 or less to the top of your opponent's Life cards face-up.,Land of Wano
Toko,OP04-098,Character,Yellow,Wisdom,null,0,+1000 Counter,2,"[On Play] You may trash 2{Land of Wano}type cards from your hand: If you have 1 or less Life cards, add 1 card from the top of your deck to the top of your Life cards.",Land of Wano
Olin,OP04-099,Character,Yellow,Special,null,7000,,7,"Also treat this card's name as [Charlotte Linlin] according to the rules.[Trigger] If you have 1 or less Life cards, play this card.",Land of Wano/The Four Emperors/Big Mom Pirates
Carmel,OP04-101,Character,Yellow,Wisdom,null,1000,+1000 Counter,2,"[Your Turn] [On Play] Draw 1 card.[Trigger] Play this card. Then, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.",The House of Lambs
Kin'emon,OP04-102,Character,Yellow,Slash,null,6000,,6,[Activate: Main] [Once Per Turn] ➀(You may rest the specified number of DON!! cards in your cost area.)You may add 1 card from the top or bottom of your Life cards to your hand: Set this Character as active.,Land of Wano
Kouzuki Hiyori,OP04-103,Character,Yellow,Wisdom,null,0,+2000 Counter,2,[On Play] Up to 1 of your{Land of Wano}type Leader or Character cards gains +1000 power during this turn.[Trigger] Play this card.,Land of Wano/Kouzuki Clan
Sanji,OP04-104,Character,Yellow,Strike,null,5000,+1000 Counter,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Trigger] You may trash 1 card from your hand: Play this card.",The Vinsmoke Family
